Queries,Number of Overlapping of Results,Percent Overlap,Spearman Coefficient
Query 1,3,30.0,0.50
Query 2,0,0.0,0.00
Query 3,0,0.0,0.00
Query 4,5,50.0,0.10
Query 5,3,30.0,0.50
Query 6,2,20.0,-1.00
Query 7,1,10.0,0.00
Query 8,0,0.0,0.00
Query 9,2,20.0,1.00
Query 10,3,30.0,0.50
Query 11,1,10.0,0.00
Query 12,2,20.0,1.00
Query 13,2,20.0,1.00
Query 14,1,10.0,1.00
Query 15,3,30.0,-1.00
Query 16,3,30.0,0.50
Query 17,2,20.0,-1.00
Query 18,0,0.0,0.00
Query 19,2,20.0,1.00
Query 20,4,40.0,0.40
Query 21,1,10.0,0.00
Query 22,0,0.0,0.00
Query 23,4,40.0,0.80
Query 24,1,10.0,0.00
Query 25,1,10.0,0.00
Query 26,3,30.0,-0.50
Query 27,3,30.0,-0.50
Query 28,0,0.0,0.00
Query 29,0,0.0,0.00
Query 30,1,10.0,0.00
Query 31,2,20.0,-1.00
Query 32,2,20.0,1.00
Query 33,1,10.0,0.00
Query 34,3,30.0,-0.50
Query 35,1,10.0,0.00
Query 36,3,30.0,0.50
Query 37,5,50.0,0.90
Query 38,2,20.0,1.00
Query 39,3,30.0,1.00
Query 40,2,20.0,1.00
Query 41,1,10.0,1.00
Query 42,3,30.0,0.50
Query 43,0,0.0,0.00
Query 44,1,10.0,0.00
Query 45,2,20.0,-1.00
Query 46,0,0.0,0.00
Query 47,2,20.0,1.00
Query 48,0,0.0,0.00
Query 49,2,20.0,1.00
Query 50,3,30.0,1.00
Query 51,0,0.0,0.00
Query 52,2,20.0,1.00
Query 53,2,20.0,1.00
Query 54,1,10.0,0.00
Query 55,1,10.0,0.00
Query 56,1,10.0,1.00
Query 57,4,40.0,0.80
Query 58,1,10.0,0.00
Query 59,2,20.0,1.00
Query 60,1,10.0,0.00
Query 61,4,40.0,0.80
Query 62,3,30.0,-0.50
Query 63,1,10.0,1.00
Query 64,0,0.0,0.00
Query 65,0,0.0,0.00
Query 66,0,0.0,0.00
Query 67,0,0.0,0.00
Query 68,4,40.0,1.00
Query 69,0,0.0,0.00
Query 70,1,10.0,1.00
Query 71,3,30.0,0.50
Query 72,1,10.0,0.00
Query 73,2,20.0,1.00
Query 74,4,40.0,-0.20
Query 75,2,20.0,-1.00
Query 76,1,10.0,0.00
Query 77,0,0.0,0.00
Query 78,1,10.0,0.00
Query 79,2,20.0,-1.00
Query 80,3,30.0,-0.50
Query 81,0,0.0,0.00
Query 82,2,20.0,1.00
Query 83,5,50.0,0.10
Query 84,0,0.0,0.00
Query 85,1,10.0,0.00
Query 86,3,30.0,1.00
Query 87,0,0.0,0.00
Query 88,3,30.0,1.00
Query 89,3,30.0,0.50
Query 90,5,50.0,0.40
Query 91,0,0.0,0.00
Query 92,2,20.0,1.00
Query 93,0,0.0,0.00
Query 94,5,50.0,0.70
Query 95,0,0.0,0.00
Query 96,0,0.0,0.00
Query 97,1,10.0,0.00
Query 98,0,0.0,0.00
Query 99,3,30.0,0.50
Query 100,3,30.0,-0.50
Averages,1.7,17.4,0.24
